kk,kv,s,sv,c1,c1v,c2,c2v,g,gv,d1,d1v,d1p,d1pp,d2,d2v,d2p,d2pp,d3,d3v,d3p,d3pp,s1,s1v,s1p,s1pp,s2,s2v,s2p,s2pp,s3,s3v,s3p,s3pp,s4,s4v,s4p,s4pp,s5,s5v,s5p,s5pp,s6,s6v,s6p,s6pp,s7,s7v,s7p,s7pp,s8,s8v,s8p,s8pp,sett,oc,ocv,ocp1,ocp2,gc,gcv,gcp1,gcp2,go,gov,gop1,gop2,on,onv,onp1,onp2,br,brv,brpi,brp1,brp2
-241045101,ovf,99485074,ovf,159451490,ovf,187960095,ovf,178064059,ovf,160565645,ovf,0.00,0.00,138283049,ovf,0.00,0.00,105776730,ovf,0.00,0.00,-163449265,ovf,0.00,0.00,-181799624,ovf,0.00,0.00,-178326191,ovf,0.00,0.00,-176687713,ovf,0.00,0.00,-156567890,-0.00,0.00,ovf,-134154296,-0.00,ovf,ovf,31850956,0.00,0.00,0.00,52036360,-291084352.00,0.00,ovf,ovf,60359592,ovf,ovf,ovf,47842041,ovf,ovf,ovf,32899565,ovf,0.00,ovf,24969599,ovf,ovf,ovf,5308505,0.00,0.00,ovf,0.00
-237244003,ovf,106628656,ovf,162335112,ovf,186387216,ovf,178850443,ovf,154798459,ovf,0.00,0.00,136120338,ovf,0.00,0.00,106825315,ovf,0.00,0.00,-167119304,ovf,0.00,0.00,-185797356,ovf,0.00,0.00,-181078690,ovf,0.00,0.00,-173673090,ovf,0.00,0.00,-154929478,-0.00,0.00,ovf,-133629950,ovf,ovf,ovf,33423891,ovf,ovf,0.00,52429638,ovf,0.00,ovf,0.00,62260136,ovf,ovf,ovf,48300743,ovf,0.00,0.00,32702963,ovf,ovf,ovf,23134594,ovf,ovf,ovf,5308482,0.00,0.00,0.00,ovf
-230100451,ovf,115803780,ovf,164628932,ovf,189401897,ovf,178653888,ovf,156502355,ovf,0.00,0.00,133105699,ovf,0.00,0.00,101189149,ovf,0.00,0.00,-164760052,ovf,0.00,0.00,-186190643,ovf,0.00,0.00,-179833514,ovf,0.00,0.00,-178588265,ovf,0.00,0.00,-154405176,-0.00,0.00,ovf,-131925986,ovf,ovf,0.00,39125520,ovf,ovf,0.00,54330153,ovf,0.00,ovf,ovf,58721160,ovf,ovf,ovf,51315457,ovf,ovf,0.00,33096190,ovf,ovf,ovf,23920997,ovf,ovf,ovf,5177423,0.00,0.00,ovf,ovf
-226692517,ovf,121505555,ovf,166398430,ovf,188746572,ovf,175835792,ovf,151521567,ovf,0.00,0.00,133236721,ovf,0.00,0.00,100140520,ovf,0.00,0.00,-165743070,ovf,0.00,0.00,-185731838,ovf,0.00,0.00,-181930719,ovf,0.00,0.00,-174394011,ovf,0.00,0.00,-152373545,-0.00,0.00,ovf,-131663821,-0.03,ovf,0.00,39584358,0.00,ovf,0.00,52626200,0.00,0.00,ovf,ovf,51184431,ovf,ovf,ovf,49611509,ovf,0.00,ovf,33227307,ovf,ovf,ovf,23527784,0.00,ovf,ovf,-48955664,0.00,0.00,ovf,0.00
-225709409,ovf,124192606,ovf,169478657,ovf,188943179,ovf,175770236,ovf,152766741,ovf,0.00,0.00,132122608,ovf,0.00,0.00,103089580,ovf,0.00,0.00,-164497846,ovf,0.00,0.00,-183962374,ovf,0.00,0.00,-182651623,ovf,0.00,0.00,-171838045,ovf,0.00,0.00,-153553187,-0.00,nan,ovf,-130549745,ovf,ovf,0.00,42730093,0.00,0.00,ovf,53412647,0.00,0.00,ovf,ovf,52364037,ovf,ovf,ovf,48038646,ovf,ovf,ovf,31654381,ovf,0.00,ovf,23134557,0.00,ovf,ovf,-61801331,0.00,0.00,ovf,0.00
-223087988,ovf,130942883,ovf,170134057,ovf,182455071,ovf,178129546,ovf,149293321,ovf,0.00,0.00,132384744,ovf,0.00,0.00,-27982628,ovf,0.00,0.00,-168430067,ovf,0.00,0.00,-186518291,ovf,0.00,0.00,-180423353,ovf,0.00,0.00,-168102456,ovf,0.00,0.00,-153684248,-0.00,nan,ovf,-130287526,ovf,ovf,0.00,42533504,0.03,0.00,0.00,51905323,0.00,0.00,ovf,ovf,51905339,ovf,ovf,ovf,48300748,ovf,0.00,0.00,31654342,ovf,0.00,ovf,20971834,ovf,ovf,ovf,-67306450,0.00,ovf,0.00,ovf
-221252919,ovf,137562123,ovf,176425555,ovf,178457267,ovf,176097924,ovf,150800621,ovf,0.00,0.00,127797172,ovf,0.00,0.00,-111543688,ovf,0.00,0.00,-169478708,ovf,0.00,0.00,-189664059,ovf,0.00,0.00,-180095677,ovf,nan,0.00,-161614260,ovf,0.00,0.00,-151456020,-0.00,ovf,ovf,-127010757,0.00,ovf,0.00,46727854,ovf,0.00,0.00,54330152,0.00,ovf,ovf,ovf,53084970,ovf,ovf,ovf,47514348,ovf,0.00,0.00,30409194,ovf,0.00,ovf,12976409,0.00,ovf,ovf,-68748322,0.00,ovf,0.00,0.00
-220400915,ovf,140773448,ovf,175245948,ovf,179440294,ovf,174525045,ovf,148506858,ovf,0.00,0.00,128059310,ovf,0.00,0.00,-130090854,ovf,0.00,0.00,-168692246,ovf,0.00,0.00,-189532988,ovf,0.00,0.00,-178129577,ovf,nan,0.00,-160303511,ovf,0.00,0.00,-150472984,0.00,ovf,ovf,-125044599,0.00,ovf,0.00,49480428,0.00,0.00,ovf,53543730,0.00,ovf,ovf,ovf,52757283,ovf,ovf,ovf,46924497,ovf,ovf,ovf,30343638,ovf,ovf,ovf,12386488,0.00,ovf,ovf,-70452254,0.00,ovf,0.00,0.00
-216796476,ovf,143853698,ovf,177932924,ovf,181340872,ovf,171706966,ovf,145033410,ovf,0.00,0.00,124192697,ovf,0.00,0.00,-138348550,ovf,0.00,0.00,-173738569,ovf,0.00,0.00,-188812092,ovf,0.00,0.00,-177277604,ovf,nan,0.00,-159779214,ovf,0.00,0.00,-151587080,0.00,ovf,ovf,-128649105,0.00,ovf,0.00,49021665,ovf,0.00,0.00,54788929,ovf,ovf,ovf,ovf,48759555,ovf,ovf,ovf,48104119,ovf,ovf,0.00,29491651,ovf,ovf,ovf,12320922,0.00,ovf,ovf,-69731403,0.00,0.00,ovf,ovf
-220663029,ovf,148965586,ovf,175245971,ovf,179178148,ovf,169871927,ovf,145557679,ovf,0.00,0.00,118163258,ovf,0.00,0.00,-142477413,ovf,0.00,0.00,-174656081,ovf,0.00,0.00,-188943173,ovf,0.00,0.00,-176884360,ovf,nan,0.00,-160827814,ovf,0.00,0.00,-148506889,ovf,ovf,ovf,-127928213,0.00,ovf,0.00,43909837,ovf,0.00,0.00,57082717,ovf,ovf,ovf,ovf,49414899,ovf,ovf,0.00,47121122,ovf,ovf,0.00,29229527,ovf,ovf,ovf,8716444,ovf,ovf,ovf,-73073691,0.00,ovf,0.00,0.00
-216993021,ovf,152307964,ovf,175508081,ovf,180161205,ovf,172296750,ovf,147196089,ovf,0.00,0.00,114689761,ovf,0.00,0.00,-145426582,ovf,0.00,0.00,-177277568,ovf,0.00,0.00,-189139778,ovf,0.00,0.00,-176884370,ovf,ovf,0.00,-159451482,ovf,0.00,0.00,-148375775,0.00,ovf,ovf,-125634429,0.00,ovf,0.00,44761752,0.00,ovf,ovf,59376501,ovf,ovf,ovf,ovf,50922235,ovf,ovf,0.00,45613774,ovf,0.00,0.00,26214842,ovf,0.00,ovf,7864455,0.00,ovf,ovf,-75826301,0.00,0.00,0.00,0.00
-213585141,ovf,150866196,ovf,181668501,ovf,179833566,ovf,169609792,ovf,144115884,ovf,0.00,0.00,114886345,ovf,0.00,0.00,-148572377,ovf,0.00,0.00,-178260650,ovf,0.00,0.00,-190516065,ovf,0.00,0.00,-176687745,ovf,0.00,0.00,-156961158,ovf,0.00,0.00,-150669536,-4161305.50,ovf,ovf,-129501017,ovf,ovf,0.00,43778729,ovf,ovf,ovf,62325656,ovf,ovf,ovf,ovf,49283826,ovf,ovf,0.00,46400182,ovf,ovf,ovf,26411388,ovf,ovf,ovf,9502875,0.00,ovf,ovf,-74450079,0.00,ovf,ovf,ovf
-212274348,ovf,148769001,ovf,182192865,ovf,182717122,ovf,169347625,ovf,141363335,ovf,0.00,0.00,112002754,ovf,0.00,0.00,-154274059,ovf,0.00,0.00,-181340830,ovf,0.00,0.00,-182258447,ovf,0.00,0.00,-179702432,ovf,0.00,0.00,-159582574,-0.00,0.00,0.00,-149686524,-0.00,ovf,ovf,-29427180,-12.30,ovf,0.00,45089444,ovf,ovf,ovf,60883894,ovf,ovf,ovf,ovf,51446533,ovf,ovf,0.00,41222806,ovf,0.00,ovf,28443029,ovf,ovf,ovf,9044103,ovf,ovf,ovf,-75433072,0.00,0.00,0.00,nan
-209783927,ovf,150669545,ovf,183896788,ovf,177670856,ovf,168888858,ovf,140511324,ovf,0.00,0.00,108398239,ovf,0.00,0.00,-156502321,ovf,0.00,0.00,-184027873,ovf,0.00,0.00,-180292309,ovf,0.00,0.00,-176687773,ovf,0.00,0.00,-156895615,-0.00,0.00,0.00,-146737360,-0.00,ovf,ovf,14483502,-0.05,ovf,0.00,48169683,0.00,ovf,ovf,58917769,ovf,ovf,ovf,ovf,48956162,ovf,ovf,nan,37880407,ovf,0.00,ovf,26739106,ovf,ovf,ovf,7405657,ovf,ovf,ovf,-75105384,0.00,0.00,0.00,0.00
-74320938,ovf,155978013,ovf,185010977,ovf,178915980,ovf,167184902,ovf,141756543,ovf,0.00,0.00,108791398,ovf,0.00,0.00,-158927221,ovf,0.00,0.00,-182323945,ovf,0.00,0.00,-181471947,ovf,0.00,0.00,-175835776,ovf,0.00,0.00,-157682019,-0.00,0.00,0.00,-144443579,0.00,ovf,ovf,22479177,-0.00,ovf,0.00,49676999,nan,0.00,0.00,58196865,ovf,ovf,ovf,ovf,48235256,ovf,ovf,ovf,35389994,ovf,ovf,0.00,24641952,0.00,ovf,ovf,9306238,ovf,ovf,ovf,-79758500,0.00,0.00,ovf,ovf
70320757,ovf,158140743,ovf,185994002,ovf,179505836,ovf,161155513,ovf,137693250,ovf,0.00,0.00,105973350,ovf,0.00,0.00,-161417605,ovf,0.00,0.00,-183634666,ovf,0.00,0.00,-180161222,ovf,0.00,0.00,-174590583,ovf,0.00,0.00,-156240242,-0.00,0.00,0.00,-140183678,-806820.19,ovf,ovf,30343581,0.00,ovf,0.00,50594558,ovf,0.00,0.00,58327926,ovf,ovf,ovf,ovf,49873634,ovf,ovf,ovf,34996772,ovf,ovf,ovf,26935706,ovf,ovf,ovf,6291583,0.00,ovf,ovf,-80938166,0.00,0.00,ovf,ovf
