kk,kv,s,sv,c1,c1v,c2,c2v,g,gv,d1,d1v,d1p,d1pp,d2,d2v,d2p,d2pp,d3,d3v,d3p,d3pp,s1,s1v,s1p,s1pp,s2,s2v,s2p,s2pp,s3,s3v,s3p,s3pp,s4,s4v,s4p,s4pp,s5,s5v,s5p,s5pp,s6,s6v,s6p,s6pp,s7,s7v,s7p,s7pp,s8,s8v,s8p,s8pp,sett,oc,ocv,ocp1,ocp2,gc,gcv,gcp1,gcp2,go,gov,gop1,gop2,on,onv,onp1,onp2,br,brv,brpi,brp1,brp2
0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,ovf,87696.08,0,0.00,0.00,-3355403.00,0,0.00,-0.00,-0.00,0,1.00,-0.00,-0.00,0,1.00,-460356.13,ovf,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,ovf,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,ovf,0.00,0,-0.00,0.00,0.00,0,1485088.25,0.00,0.00,0,ovf,0.00,ovf,0,ovf,ovf,ovf,ovf
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,ovf,44871.57,0,0.00,0.00,-64200.81,0,0.00,-0.00,-0.00,0,1.00,-0.00,-0.01,0,1.00,-1751343.62,ovf,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,ovf,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,ovf,0.00,0,-0.00,0.00,0.00,0,13781640.00,0.00,0.00,0,ovf,0.00,ovf,0,ovf,ovf,ovf,ovf
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,ovf,14737.71,0,0.00,0.00,-5816.83,0,0.00,-0.00,-0.00,0,1.00,-0.00,-0.04,0,1.00,-6251800.00,ovf,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,ovf,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,ovf,0.00,0,-0.00,0.00,0.00,0,83517704.00,0.00,0.00,0,ovf,0.00,ovf,0,ovf,ovf,ovf,ovf
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,ovf,3460.36,0,0.00,0.00,-843.08,0,0.00,-0.00,-0.00,0,1.00,-0.00,-0.11,0,1.00,-41627060.00,ovf,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,ovf,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,0.00,0.00,0,-0.00,0.00,0.00,0,474588256.00,0.00,0.00,0,ovf,0.00,ovf,0,ovf,ovf,ovf,ovf
0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,ovf,1402.15,0,0.00,0.00,-93.38,0,0.00,-0.00,-0.00,0,1.00,-0.00,-0.35,0,1.00,-255643072.00,ovf,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,ovf,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,0.00,0.00,0,-0.00,0.00,0.00,0,2739827200.00,0.00,0.00,0,ovf,0.00,ovf,0,ovf,ovf,ovf,ovf
0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,ovf,533.07,0,0.00,0.00,-11.42,0,0.00,-0.00,-0.00,0,1.00,-0.00,-1.12,0,1.00,-1709640576.00,ovf,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,ovf,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,0.00,0.00,0,-0.00,0.00,0.00,0,ovf,0.00,0.00,0,ovf,0.00,ovf,0,ovf,ovf,ovf,ovf
0,0.00,0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,1764205056.00,123.63,0,0.00,0.00,-2.71,0,0.00,-0.00,-0.00,0,1.00,-0.00,-2.90,0,1.00,ovf,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,ovf,ovf,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,0.00,0.00,0,-0.00,0.00,0.00,0,ovf,0.00,0.00,0,ovf,0.00,ovf,0,ovf,ovf,ovf,ovf
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,865313280.00,43.56,0,0.00,0.00,-0.37,0,0.00,-0.00,-0.00,0,1.00,-0.00,-9.17,0,1.00,ovf,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,ovf,ovf,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,0.00,0.00,0,0.00,0.00,0.00,0,ovf,0.00,0.00,0,ovf,0.00,ovf,0,ovf,ovf,ovf,ovf
0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,464110336.00,18.53,0,0.00,0.00,-0.06,0,0.00,-0.00,-0.00,0,1.00,-0.00,-30.09,0,1.00,ovf,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,ovf,ovf,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,0.00,0.00,0,0.00,0.00,0.00,0,ovf,0.00,0.00,0,ovf,0.00,ovf,0,ovf,ovf,ovf,ovf
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,119696280.00,2.60,0,0.00,0.00,-0.01,0,0.00,-0.00,-0.00,0,1.00,-0.00,-122.88,0,1.00,ovf,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,ovf,ovf,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,0.00,0.00,0,0.01,0.00,0.00,0,ovf,0.00,0.00,0,ovf,0.00,ovf,0,ovf,ovf,ovf,ovf
0,0.00,0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,38089092.00,1.10,0,0.00,0.00,-0.00,0,0.00,-0.00,-0.00,0,1.00,-0.00,-367.52,0,1.00,ovf,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,ovf,ovf,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,0.00,0.00,0,0.86,0.00,0.00,0,ovf,0.00,0.00,0,ovf,ovf,ovf,0,ovf,ovf,ovf,ovf
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,19699602.00,0.40,0,0.00,0.00,-0.00,0,0.00,-0.00,-0.00,0,1.00,-0.00,-1086.13,0,1.00,ovf,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,ovf,ovf,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,0.00,0.00,0,25.53,0.00,0.00,0,ovf,0.00,0.00,0,ovf,ovf,ovf,0,ovf,ovf,ovf,ovf
0,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0.00,6890916.00,0.11,0,0.00,0.00,-0.00,0,0.00,-0.00,-0.00,0,1.00,-0.00,-4888.63,0,1.00,ovf,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,ovf,0,ovf,ovf,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,0.00,0.00,0,182.26,0.00,0.00,0,ovf,0.00,0.00,0,ovf,ovf,ovf,0,ovf,ovf,ovf,ovf
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1780041.00,0.04,0,0.00,0.00,-0.00,0,0.00,-0.00,-0.00,0,1.00,-0.00,-10673.46,0,1.00,ovf,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,ovf,0,ovf,ovf,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,0.00,0.00,0,3380.26,0.00,0.00,0,ovf,0.00,0.00,0,ovf,ovf,ovf,0,ovf,ovf,ovf,ovf
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,918682.88,0.01,0,0.00,ovf,-0.00,0,0.00,-0.00,-0.00,0,1.00,-0.00,-46022.74,0,1.00,ovf,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,0.00,0.00,0,30755.05,0.00,0.00,0,ovf,0.00,0.00,0,ovf,ovf,ovf,0,ovf,ovf,ovf,ovf
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,313929.03,0.01,0,0.00,-2849430272.00,-0.00,0,0.00,-0.00,-0.00,0,1.00,-0.00,-193310.61,0,1.00,ovf,0.00,0,1.00,0.00,0.00,0,1.00,0.00,0.00,0,1.00,0.00,ovf,0,ovf,ovf,ovf,0,-0.00,ovf,ovf,0,-0.00,ovf,ovf,ovf,0,-0.00,0.00,0.00,0,196894.72,0.00,0.00,0,ovf,0.00,0.00,0,ovf,ovf,ovf,0,ovf,ovf,ovf,ovf
