patt,sett
-174393458,858993112
-232655909,866726843
-283774844,836842240
-321196576,774844486
-351867934,682568621
-379327952,564602191
-408885115,438902249
-439884118,317855361
-460987136,212078494
-461380535,134875677
-431037144,87361128
-375330864,65930338
-308941923,61408197
-248582274,50725749
-208014694,19530309
-198642661,-27787313
-215944251,-72221446
-240586153,-108463478
-244125366,-138479466
-213519825,-159385840
-166923098,-174918134
-123799700,-193858295
-99747454,-212995100
-104334813,-234818908
-133695226,-261557956
-178784574,-297406619
-228396063,-337449709
-280432415,-367138077
-333582933,-376837721
-376706369,-366220871
-406919026,-342889780
-418977995,-318509989
-406788296,-304550510
-376051565,-311956015
-331289899,-348459904
-280171059,-401610317
-239931218,-448207221
-221515145,-463018865
-219614491,-440015652
-211291385,-397351178
-187501567,-351540819
-150145586,-316019658
-95618927,-302060093
-28967875,-303239676
43974771,-308548160
118293727,-313528972
185731365,-324735729
236653757,-344396776
261820178,-360256777
260968375,-370218443
247598900,-371004977
234163786,-353113524
233508307,-320148523
241831451,-277221853
254611155,-238686015
265293717,-226889126
267587583,-248778220
259592135,-294719509
250220322,-339940089
263917329,-373626201
324866343,-393615108
435492448,-395253667
569449960,-389027682
699475442,-384374534
801582341,-384374496
