patt,sett
-425728287,219942660
-436738486,193334262
-441850438,212470741
-434772537,255069661
-421075332,293605500
-411703483,305533479
-422582453,276697519
-454498833,205328046
-494804037,98044223
-537272011,-28769755
-574693685,-158074276
-608510792,-269815023
-636757291,-363074297
-650716788,-437655553
-648488663,-483728290
-625944098,-498605433
-575742990,-485629319
-487137268,-452729880
-365828505,-410261975
-233771484,-362747649
-108661283,-321000534
5569799,-280039922
107610983,-232656722
216926597,-186322029
355995856,-154995199
527243816,-149031125
710485220,-167774544
878391181,-201067233
1009989794,-251530598
1091518217,-313987273
1120813647,-385225925
1106723498,-460462385
1059602630,-530324891
995966275,-590029187
938621336,-633021593
888485491,-650520187
838611821,-638985886
793063564,-606545201
751513092,-573121305
711535528,-550445421
661399819,-538255460
596256152,-532488182
518529366,-506535750
430185552,-433396840
348133143,-316741276
286724795,-180162269
250613727,-49350324
229183026,56950909
215813428,127469001
211946666,158730442
228723967,162990516
261230204,152766843
305533136,141035701
352850851,139397198
396957282,140576862
435558622,140118107
463280855,140511322
478944297,140118114
487988435,137168975
499522920,124913644
505683473,97650367
489561558,52888746
444537867,-12713656
374413460,-80151249
291181542,-134547073
