patt,sett
-42599796,-292098174
82968812,-319492679
239733107,-346559450
412619630,-379393437
591273449,-412489652
765470846,-430840134
924332671,-435034604
1060125546,-428743119
1153057365,-421140813
1191331402,-417667324
1171998424,-417929439
1108821043,-415504607
1028865992,-407705741
954874633,-396564483
902379309,-382342980
863974558,-360977969
820916810,-339154123
762261331,-324998081
680012586,-310252288
568206682,-280302023
440737298,-221581108
326964901,-136317655
249893099,-34669876
205917544,75235637
182061935,177276835
166070875,256707874
144378193,305598722
119605215,313070288
98240120,271716814
78841153,182586841
58065949,67241855
32834248,-41877336
1245456,-128255299
-32375027,-182454659
-58917601,-212863971
-68617191,-234884446
-65405968,-256052895
-48956294,-286330891
-16908817,-328929869
24903744,-367727838
65798839,-378214027
103154949,-348788212
147720049,-291836732
205130354,-220204887
269946408,-145951451
329388528,-84543164
377034029,-32310130
405936008,19464104
409540736,70124225
386340839,111674771
331617699,132515696
243208540,133236747
128256821,121046951
7144440,104531633
-89850558,92997082
-144050003,87033172
-149555487,90113324
-118949932,100730279
-80807412,105711163
-51905500,95684127
-49283780,74974494
-85394376,58328046
-148702944,55378765
-212732638,64095108
-259329584,78447677
