patt,sett
11075118,-56951862
113574801,-35848872
222366225,-34800110
317853756,-54723206
390075717,-94766168
433264836,-145491751
445258350,-194120235
423107111,-236260579
364451772,-267194144
272700209,-287838365
165154067,-296423811
60819108,-289673622
-26083111,-262738077
-78709627,-211881560
-89195855,-135727751
-73860352,-38012244
-52691904,76022021
-47186633,197724184
-72483664,332140446
-133367274,494409829
-209783361,677978847
-271912590,860696054
-307433840,1027815547
-326636274,1167671729
-342496229,1269647603
-366482705,1321946513
-397678282,1323913008
-430053556,1277906399
-456989320,1188514248
-469179328,1074938750
-463346673,959265932
-439687948,857814528
-405412152,784740524
-369760030,739847494
-339416344,707210012
-313856878,672999735
-297275939,615196307
-290197874,524558902
-292426060,401677256
-303632825,277156899
-320803481,179309922
-333058980,112986244
-316085164,67437910
-264769930,27853512
-194842055,-11206529
-116001101,-49349074
-36308105,-78250969
36044824,-90047800
93914120,-76743983
127600332,-42599349
133040121,5701328
107415395,57344483
61867292,105055460
13894210,139200358
-27197569,160893194
-42598996,170265078
-29950546,166988334
-2883848,146934141
23724201,106170290
34013663,46531747
16712111,-16187187
-26345513,-56164960
-73007901,-69665767
-92472636,-68027432
-82576741,-58393549
