patt,sett
-448076155,-106693578
-495393829,-189860074
-533995211,-258411910
-555098278,-296489153
-551821612,-304222739
-528883817,-292950498
-488054390,-281153791
-433396618,-288690385
-372054027,-320016893
-304682052,-363009117
-219680721,-394598076
-98699730,-400955369
74907361,-381097866
293735110,-338236811
530520206,-292557505
758195859,-258019407
949236554,-236523165
1090075962,-231083458
1178747899,-247467543
1225738215,-285675459
1232816541,-335680140
1193101475,-380114286
1114391797,-418584546
1016938386,-451156470
912472448,-476650423
814560075,-494017783
741092895,-507387353
691808904,-520756896
664545372,-529014625
638854895,-518725488
593306843,-477765116
518463840,-394467931
424156198,-272634904
332994177,-135072812
255332715,-5047306
196873554,95683327
158730874,158599133
130680986,189139595
104531704,193530775
83953044,168561421
71042192,109709454
61866999,28640305
55051128,-52625599
60228431,-126092644
88540225,-176949589
140183203,-187763505
206768707,-160303777
277483113,-109053988
342823574,-59966701
389223944,-33161873
405215218,-36897236
389486564,-62849761
356390477,-87557258
325325878,-99091889
313922265,-93324771
326308596,-75629844
347542542,-63046679
360322355,-61473716
353310064,-64816058
319951938,-71762961
270143902,-80413830
215551617,-90572065
152308490,-88606076
72550106,-68289736
-17890912,-36569911
