patt,sett
-117507359,-20774560
-171051191,-98436017
-201591633,-155977665
-210308197,-182192735
-203820150,-169806529
-184290210,-137365815
-160369216,-107939642
-146737416,-98567667
-150735040,-110364188
-168692089,-129828646
-181275284,-147916879
-160303754,-160827714
-90769359,-170396126
13565332,-184683147
128386113,-207096734
234162927,-243993936
313790617,-293212151
357635146,-339940073
371135981,-377296245
369301026,-394401592
356455863,-379197267
333255828,-326833496
303895299,-249106769
265949453,-158075963
217910906,-56690296
163711839,46530487
111478821,133301633
68093257,199690760
26018531,254021009
-31784964,314118352
-113312802,403182882
-213191088,526588791
-309596081,670180247
-386471143,812985414
-438769861,935867474
-467213095,1024080572
-476781629,1072185031
-473439326,1087520918
-469179399,1081295050
-470555638,1051803589
-472587299,1001995606
-473963575,939538929
-474684494,863319502
-463870992,776417508
-437132025,687877014
-400890118,614213289
-361764550,559686370
-319820894,509419498
-277287366,444800154
-245305208,360912936
-228265480,267981493
-215747908,185535838
-191040588,130615596
-127863257,111478514
-18875555,122619585
114492097,151324698
246614753,183372288
353505832,204606380
416290637,211815551
426973574,208800919
393156793,198577197
333125070,188418938
253497761,184486672
160631902,190647081
67765957,190188406
