patt,sett
591799689,138348615
529801556,157354139
478879237,189663822
430512921,216861741
373364766,233835910
288625649,242355768
177802766,259002067
50857694,304484491
-65994908,383718481
-157681379,483400133
-224922522,583671781
-277090055,661136732
-320016842,698951894
-361567308,695151059
-393418408,655566976
-407312387,586294584
-395122718,502145148
-360978076,428284821
-319493194,375068626
-274469308,334959898
-233508634,307041042
-203361515,288494007
-187108242,269553837
-175311571,237047613
-160434693,178654355
-154863934,97716321
-171116931,1573636
-211356478,-92013255
-266931759,-171247613
-317526419,-235015231
-335680452,-288755624
-316806079,-341840586
-266736025,-396563973
-202575362,-440867087
-146672198,-467606329
-120063928,-474881085
-127469345,-469244971
-167512211,-461052856
-236129234,-451091250
-323817633,-443423390
-401872331,-443030101
-455285182,-446306949
-482679861,-439687803
-479993068,-422451636
-446569430,-409082030
-387193092,-413276258
-315167994,-433264934
-245305520,-459348634
-176426122,-471473144
-107612295,-440146830
-25035800,-361633843
75563368,-249893469
182978490,-130747204
282988038,-31458457
356455249,28639297
394008227,43844230
403249142,15401489
393942996,-48038080
377427718,-133629277
351278539,-213781112
313201632,-281218775
269881696,-339677858
225316544,-381687202
182717474,-404952978
148113848,-412031086
