patt,sett
-224726209,1275546349
-236129758,1277316206
-234360345,1246579550
-226954701,1197164789
-214961462,1135560080
-202181740,1069564354
-192220099,994852251
-183503656,910833877
-176491193,824193974
-166595133,737095300
-152177045,655501682
-129239156,575874236
-105055977,488644562
-93586891,386144819
-100205998,268571534
-121636493,158731423
-145295375,71501483
-141166827,9503299
-83101469,-30146746
20250082,-49611393
139723978,-50660133
245631922,-40960709
317460768,-32768558
338629624,-25690554
309203882,-20840781
241569956,-22675778
152177624,-26542434
54265385,-31719879
-39518104,-34341365
-127337730,-40239666
-206768667,-46727826
-267456076,-63046446
-304288062,-98632868
-316674737,-156829555
-308613824,-230427503
-291508714,-302583804
-279449839,-340464522
-280236190,-326440000
-283906263,-275321379
-281088228,-213913234
-275714201,-165743395
-277614702,-148965665
-290394340,-174524752
-309596642,-237898770
-332731162,-319426692
-363336887,-406197652
-394270366,-489102019
-418519116,-558047068
-431954297,-610083577
-427039169,-640230782
-394467513,-640886379
-331552223,-605431164
-237769015,-530326054
-118098626,-426712231
14744806,-314250769
142083279,-214503318
251005918,-133827143
340201918,-64226789
419108513,1637932
516430752,60097005
654189205,104400142
818686926,129959710
982463946,135923730
1123630855,116721596
1224623714,72025554
