patt,sett
127076507,385030283
76613179,312218873
7668374,224464901
-63832508,144575193
-122029491,90310330
-148899935,72680595
-139397329,79889515
-109774720,92865820
-80807319,101582289
-74843244,94635511
-104006929,72877332
-169347056,45613967
-260246703,21037546
-364122767,12124364
-476387585,24445162
-588062674,51905074
-684336660,78578674
-761539385,100205911
-813969199,124651178
-829698390,147327022
-797520103,160368961
-719793540,168692178
-624896029,182127204
-538256017,209259399
-475078147,261361102
-436476674,340988365
-411572541,432084745
-387782616,509877316
-360781401,555622410
-336139445,560079250
-328799142,523313301
-346756084,450895176
-390993356,348919817
-459086143,223416629
-533863834,89327959
-604578307,-38862474
-655893967,-156173797
-675620847,-253365359
-666511406,-315101509
-645343001,-332534690
-619324855,-314905466
-587867143,-291181063
-555950608,-280826089
-536354929,-295309561
-525279142,-329126525
-509091564,-367858899
-474946952,-392369868
-403511936,-397481892
-290264314,-396367778
-145755435,-405215180
10943478,-427759806
159974705,-465443456
288427400,-512105750
392762496,-551559110
474618373,-568402322
536485453,-549331355
571220284,-492642126
584524431,-409737986
582755044,-322246091
561521208,-233967767
527507590,-146279253
491462227,-65734205
468196471,-1704416
455285627,51839366
432085654,105120938
