patt,sett
-516693592,335222183
-544481157,296161930
-586490286,293671237
-626140226,317657623
-652224053,345838550
-666445664,359601459
-672409589,349312341
-672213020,314905585
-663955433,263852376
-636888813,204279297
-595469503,142674516
-557064770,85788343
-533995613,42664881
-532160413,14025104
-546250768,2818136
-569647423,12517464
-586162837,31654219
-584196868,48431723
-565715538,58721095
-542974218,51250042
-524623811,14877243
-515120874,-47120593
-511057563,-113902807
-496311855,-173934753
-446438525,-228330503
-340465633,-276631320
-192286749,-318050765
-29492899,-350295041
119210720,-370349454
232983248,-383915634
302780487,-404035428
328274720,-437655790
311104342,-486284138
259920183,-540941975
186453344,-588390850
109643974,-610411504
38405210,-602874973
-18808724,-571417371
-47841839,-527114444
-55313199,-475078118
-48038705,-420879027
-26804815,-361437042
393009,-276304723
24510666,-141364463
42140161,55115004
67568425,289081885
106169620,524884054
148768662,738010610
190450207,904474975
226757758,1014708635
259591808,1072381594
298651806,1081229456
336663288,1047936969
364582153,978730142
375068221,887371715
368580168,785461730
353506700,683092912
339285139,594290164
343151662,519053610
369562908,452336862
407770926,394074418
440539492,329127336
453712604,246550870
437197516,147590096
392632556,52299234
