patt,sett
-460659445,118884623
-474880993,44303619
-483204247,-48758782
-482811094,-151389685
-471342223,-239143903
-442243937,-286789638
-393812242,-290001277
-324801939,-261361823
-238817498,-216665677
-155978672,-173280155
-90703663,-134351149
-51119112,-97650406
-31720023,-71435510
-27591073,-61735908
-47514122,-66192316
-100402225,-86049902
-182257732,-118228489
-278793662,-155781176
-365237085,-188353101
-420157365,-219286570
-424352159,-252448274
-377231409,-282595330
-305468527,-306778523
-231739380,-329388795
-175770607,-348591173
-154077592,-357569832
-166136147,-349705531
-195824324,-327423039
-216665189,-306254551
-221252911,-294588889
-212667658,-295637378
-200019012,-308154862
-193006499,-331813627
-188091239,-374215905
-174262994,-440211487
-157485539,-523902119
-138741973,-610410982
-115935133,-673654414
-84477443,-691677458
-46007271,-651503733
917133,-561521757
61407694,-454762064
125175190,-351803374
182913343,-272437843
233573491,-234360525
280170325,-233901496
323555841,-250220139
368710814,-258346811
424875913,-256839521
499915615,-255266628
592126065,-260706123
688596528,-280498182
775433150,-308613525
847982719,-332993318
906507372,-355079305
946943851,-372315577
954153213,-386537107
912930822,-399054702
822162447,-408098835
694496615,-408623224
552346926,-394467348
419699915,-372119276
316675495,-345707889
244125834,-306254720
182914236,-256774360
