patt,sett
95553856,-146606304
-11206054,-123078724
-92799822,-81135161
-153421684,-31523682
-204343987,17956766
-252841381,68551302
-303173770,133694944
-353440665,233638544
-394073702,385683976
-412751936,585112745
-407574684,807414140
-387192765,1021916855
-360584771,1201488540
-340137167,1333677039
-332141565,1413763661
-321983384,1435981153
-300946085,1402361079
-279580993,1327911315
-273027161,1237666945
-285479048,1137067718
-310710704,1037123779
-341381994,949959462
-366155055,872953408
-372708918,794177971
-356390366,711208168
-326833259,621619140
-298783380,524558903
-288362843,423763011
-299110755,333256305
-321655423,259395981
-339153871,196742545
-331748405,139332103
-296096470,80021143
-245108778,19464942
-197266715,-24510532
-170724050,-51511895
-166988273,-72876979
-180226616,-101057830
-212011913,-135923468
-256380394,-170527015
-299897009,-199035675
-319099577,-205458500
-306189028,-181734343
-264900929,-130943350
-193400292,-71042560
-105384178,-21234336
-22610877,5242813
43319492,5636237
81724402,-10223636
93324642,-22282517
83428706,-8257827
66192493,28901502
50922357,68158193
35455641,89195743
18088351,78579006
-5832592,34997141
-34406713,-31850424
-49218221,-121570412
-45155060,-224201281
-37028467,-324997232
-38208036,-407639556
-55968434,-468654671
-83952673,-507190607
-117966333,-518332099
-143591407,-511844032
