patt,sett
355799477,445389210
484972800,454368025
612901069,432937643
723986432,380180606
809577952,304944259
866005549,229838817
887305346,173935573
875574472,147130713
828846859,142346364
757411692,149620913
669592230,149817594
564208865,143722693
456466025,135465048
359340082,123537345
283185920,106235611
222367490,89982413
156175196,80282885
75040502,82969786
-19660352,117573037
-116589593,192284908
-192874879,296226405
-229641453,410457353
-224005575,524753900
-195300496,627319411
-168037068,705308657
-149948772,746335118
-152635607,750922981
-176228781,719399947
-207162217,661072199
-232983862,582952237
-240782916,489758724
-235933269,395516500
-226561474,309138656
-228199794,233246738
-237047248,161876943
-249237120,78579530
-264834884,-23199287
-288297080,-142083287
-311235049,-262802468
-329257764,-358355659
-338105346,-412489549
-325063675,-430905689
-284496467,-437459430
-229248860,-449649252
-178981897,-471341915
-147655067,-511712561
-137365589,-565846042
-152438893,-612115263
-191760915,-634922332
-249105669,-630334953
-315953363,-604513517
-375329970,-568402678
-416683964,-532947147
-434248078,-498015932
-415963551,-457120904
-352917312,-407968209
-245633566,-355800778
-110824117,-300225425
21560691,-246222912
133760218,-193269026
212208277,-127011248
262540875,-43910442
303567073,40828916
352064374,110822580
406525605,156370988
