patt,sett
66258122,34276074
23593680,459029
-38993992,-43909429
-123798703,-94307356
-222825035,-142804765
-310841367,-180947400
-363074666,-197921654
-368252452,-190516157
-327947541,-160107159
-258544029,-118949973
-184749357,-86246914
-124651790,-69862538
-95880777,-63767541
-105514435,-56230814
-140379966,-35193568
-177146255,982753
-206703488,44040530
-233442586,80806875
-261885635,91817310
-296685717,71370005
-342168314,26215187
-387519960,-46071904
-415307800,-142542190
-426645806,-252120001
-432740766,-344986123
-444013075,-403707549
-460790521,-425138428
-479796235,-408688918
-491003145,-368056128
-489299281,-323753116
-468786360,-290525745
-428088035,-281940184
-369760230,-296227094
-304288795,-323162731
-238424116,-343217147
-159910922,-350360773
-52758178,-349246698
93913325,-341120157
280562408,-333386766
493426410,-329454535
715531274,-314250076
923480339,-275714492
1096039553,-222695135
1227572636,-173804466
1306151929,-140970302
1322667722,-121702335
1283542535,-116000515
1214007942,-113444582
1140409909,-105252511
1071989214,-85198289
1015365148,-55116861
963853050,-25887322
907229156,-7864546
835662859,-1900611
743190326,4915201
631187717,31260886
518529587,93324136
424221665,192546886
356259605,315100935
304681890,435951233
261820632,530783510
218304087,586293660
161876846,599860140
106956781,564536093
65668359,477044579
